GraphIndex,GroupId
0,207
1,210
2,201
3,195
4,199
5,203
6,202
7,208
8,206
9,198
10,197
11,204
12,196
13,200
14,209
15,205
16,36
17,25
18,159
19,65
20,137
21,181
22,155
23,38
24,80
25,26
26,19
27,176
28,85
29,121
30,144
31,185
32,91
33,112
34,81
35,157
36,164
37,53
38,142
39,123
40,114
41,134
42,67
43,16
44,141
45,4
46,24
47,103
48,161
49,1
50,175
51,127
52,86
53,63
54,84
55,17
56,49
57,146
58,57
59,62
60,37
61,140
62,115
63,174
64,21
65,82
66,131
67,126
68,28
69,78
70,75
71,32
72,158
73,173
74,74
75,170
76,147
77,99
78,145
79,151
80,149
81,48
82,154
83,106
84,169
85,5
86,79
87,182
88,34
89,61
90,9
91,12
92,87
93,97
94,188
95,113
96,20
97,125
98,108
99,11
100,90
101,107
102,70
103,88
104,51
105,178
106,68
107,194
108,168
109,31
110,172
111,118
112,76
113,54
114,130
115,163
116,58
117,64
118,171
119,83
120,110
121,46
122,111
123,42
124,124
125,15
126,160
127,98
128,183
129,43
130,193
131,139
132,3
133,35
134,92
135,29
136,129
137,22
138,132
139,55
140,8
141,13
142,184
143,96
144,6
145,10
146,165
147,177
148,41
149,69
150,39
151,117
152,150
153,156
154,179
155,66
156,143
157,152
158,166
159,60
160,2
161,189
162,119
163,89
164,190
165,101
166,14
167,93
168,50
169,77
170,100
171,7
172,116
173,148
174,105
175,94
176,135
177,23
178,40
179,71
180,133
181,187
182,95
183,30
184,122
185,72
186,33
187,128
188,192
189,120
190,136
191,167
192,45
193,73
194,27
195,59
196,109
197,52
198,138
199,18
200,153
201,180
202,104
203,191
204,186
205,47
206,162
207,102
208,56
209,44
